Con,Lab,LD,UKIP,Green,BXP,date_published,date_ordinals
44.0,28.0,14.0,0.0,3.0,6.0,2019-11-17,737380
45.0,30.0,11.0,2.0,2.0,6.0,2019-11-17,737380
37.0,29.0,16.0,0.0,5.0,9.0,2019-11-17,737380
45.0,27.0,16.0,0.0,3.0,2.0,2019-11-19,737382
43.0,30.0,16.0,0.0,3.0,3.0,2019-11-24,737387
47.0,28.0,12.0,0.0,3.0,3.0,2019-11-24,737387
41.0,28.0,18.0,0.0,5.0,3.0,2019-11-24,737387
41.0,32.0,14.0,0.0,4.0,4.0,2019-12-08,737401
44.0,33.0,11.0,1.0,2.0,3.0,2019-12-08,737401
46.0,31.0,13.0,0.0,3.0,2.0,2019-12-08,737401
45.0,33.0,12.0,0.0,2.0,2.0,2019-12-11,737404
41.0,32.0,14.0,0.0,4.0,3.0,2019-12-12,737405
37.40642630899447,28.40899892199559,9.203201967788573,0.1395884686353383,3.4218945997240557,0.0,2019-12-12,737405
40.893695385282626,32.23781291513296,15.949374611417852,0.0,2.5434597180174023,1.204178599320585,2019-12-12,737405
