Year,Month,Fieldwork,,Published,Polling,,Con,,Lab,,LD,,Green,,BXP/Reform,,Ukip,
2020,Jun,11-12,11/6/20,13,YouGov,,45.0,0.0,37.0,2.0,6.0,0.0,4.0,-1.0,2.0,0.0,,
2020,Jun,11-12,11/6/20,14,Opinium,Ob,44.0,1.0,39.0,-1.0,6.0,0.0,2.0,-1.0,,,1.0,-1.0
2020,Jun,11-15,11/6/20,17,Kantar,,43.0,-8.0,35.0,3.0,8.0,1.0,4.0,2.0,2.0,0.0,1.0,1.0
2020,Jun,12-14,12/6/20,18,Savanta ComRes,DT,40.0,-6.0,36.0,3.0,9.0,2.0,3.0,-1.0,3.0,1.0,,
2020,Jun,13-15,13/6/20,,YouGov,,,,,,,,,,,,,
2020,Jun,15-16,15/6/20,,YouGov,,,,,,,,,,,,,
2020,Jun,18,18/6/20,19,R+W,,43.0,2.0,38.0,-1.0,8.0,-1.0,4.0,0.0,,,,
2020,Jun,18-19,18/6/20,20,Opinium,Ob,44.0,0.0,40.0,1.0,5.0,-1.0,3.0,1.0,,,1.0,0.0
2020,Jun,20-22,20/6/20,,YouGov,,,,,,,,,,,,,
2020,Jun,24-25,24/6/20,26,Survation,,43.0,1.0,36.0,0.0,8.0,0.0,4.0,0.0,0.0,-1.0,,
2020,Jun,25,25/6/20,27,R+W,,,,,,,,,,,,,
2020,Jun,25,26/6/20,26,R+W,,44.0,1.0,38.0,0.0,7.0,-1.0,4.0,0.0,,,,
2020,Jun,25-26,25/6/20,27,Opinium,Ob,43.0,-1.0,39.0,-1.0,6.0,1.0,4.0,1.0,,,,
2020,Jun,26-28,26/6/20,,YouGov,TT,45.0,0.0,37.0,0.0,5.0,-1.0,4.0,0.0,2.0,0.0,,
2020,Jun,27-29,27/6/20,,YouGov,,,,,,,,,,,,,
2020,Jun,29-30,29/6/20,,YouGov,,,,,,,,,,,,,
2020,Jul,1,1/7/20,2,R+W,Election Maps UK,42.0,-2.0,38.0,0.0,8.0,1.0,5.0,1.0,,,,
2020,Jul,1-3,1/7/20,5,Opinium,Ob,41.0,-2.0,37.0,-2.0,8.0,2.0,4.0,0.0,0.0,,2.0,
2020,Jul,3-6,3/7/20,7,Survation,,44.0,1.0,37.0,1.0,7.0,-1.0,4.0,0.0,0.0,0.0,,
2020,Jul,4-6,4/7/20,,YouGov,,,,,,,,,,,,,
2020,Jul,7-8,7/7/20,,YouGov,,,,,,,,,,,,,
2020,Jul,8,8/7/20,9,R+W,,44.0,2.0,39.0,1.0,7.0,-1.0,4.0,-1.0,,,,
2020,Jul,8-9,8/7/20,10,YouGov,TT,46.0,1.0,36.0,-1.0,6.0,1.0,3.0,-1.0,2.0,0.0,,
2020,Jul,9-10,9/7/20,12,Opinium,Ob,42.0,1.0,38.0,1.0,6.0,-2.0,4.0,0.0,0.0,0.0,2.0,0.0
2020,Jul,9-10,9/7/20,11,Deltapoll,,44.0,3.0,38.0,0.0,7.0,-1.0,3.0,-1.0,3.0,0.0,,
2020,Jul,9-13,9/7/20,16,Kantar,,45.0,2.0,35.0,0.0,9.0,1.0,2.0,-2.0,2.0,0.0,1.0,0.0
2020,Jul,10-12,10/7/20,13,Survation,,42.0,-2.0,36.0,-1.0,8.0,1.0,5.0,1.0,1.0,1.0,,
2020,Jul,10-13,10/7/20,17,Ipsos,,,,,,,,,,,,,
2020,Jul,11-13,11/7/20,,YouGov,,,,,,,,,,,,,
2020,Jul,15,15/7/20,16,R+W,,44.0,0.0,37.0,-2.0,8.0,1.0,4.0,0.0,,,,
2020,Jul,15-17,15/7/20,19,Opinium,Ob,44.0,2.0,36.0,-2.0,6.0,0.0,4.0,0.0,,,1.0,-1.0
2020,Jul,17-18,17/7/20,,YouGov,,,,,,,,,,,,,
2020,Jul,17-19,17/7/20,22,Savanta ComRes,,43.0,3.0,37.0,1.0,6.0,-3.0,2.0,-1.0,2.0,-1.0,,
2020,Jul,18-20,18/7/20,,YouGov,,,,,,,,,,,,,
2020,Jul,22,22/7/20,24,R+W,,44.0,0.0,36.0,-1.0,8.0,0.0,5.0,1.0,,,,
2020,Jul,22-23,22/7/20,,YouGov,TT,44.0,-2.0,35.0,-1.0,7.0,1.0,4.0,1.0,3.0,1.0,,
2020,Jul,23-24,23/7/20,26,Opinium,Ob,42.0,-2.0,38.0,2.0,6.0,0.0,4.0,0.0,0.0,,2.0,1.0
2020,Jul,25-27,25/7/20,,YouGov,,,,,,,,,,,,,
2020,Jul,29,29/7/20,31,R+W,,43.0,-1.0,38.0,2.0,7.0,-1.0,4.0,-1.0,,,,
2020,Jul,30-31,30/7/20,1,Opinium,Ob,41.0,-1.0,38.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0
2020,Jul,30-31,30/7/20,5,YouGov,TT,43.0,-1.0,35.0,0.0,6.0,-1.0,5.0,1.0,3.0,0.0,,
