Con,Lab,LD,Green,BXP/Reform,date_published,date_ordinals
34.0,39.0,11.0,7.0,1.0,2021-12-13,738137
34.0,38.0,11.0,7.0,3.0,2021-12-16,738140
34.0,38.0,10.0,4.0,4.0,2021-12-17,738141
32.0,37.0,13.0,5.0,4.0,2021-12-22,738146
34.0,41.0,9.0,4.0,3.0,2021-12-22,738146
33.0,44.0,9.0,3.0,3.0,2022-01-01,738156
35.0,42.0,8.0,6.0,2.0,2022-01-02,738157
31.0,39.0,12.0,7.0,4.0,2022-01-05,738160
34.0,43.0,9.0,5.0,4.0,2022-01-05,738160
32.0,39.0,11.0,7.0,3.0,2022-01-06,738161
30.0,41.0,15.0,6.0,1.0,2022-01-06,738161
30.0,44.0,10.0,8.0,1.0,2022-01-07,738162
34.0,38.0,11.0,7.0,4.0,2022-01-07,738162
31.0,42.0,12.0,7.0,3.0,2022-01-08,738163
26.0,47.0,10.0,2.0,5.0,2022-01-11,738166
33.0,42.0,11.0,4.0,3.0,2022-01-13,738168
28.0,38.0,13.0,7.0,4.0,2022-01-13,738168
32.0,42.0,11.0,4.0,2.0,2022-01-14,738169
27.0,41.0,11.0,8.0,5.0,2022-01-14,738169
30.0,43.0,9.0,7.0,4.0,2022-01-17,738172
32.0,41.0,11.0,5.0,2.0,2022-01-17,738172
31.0,39.0,11.0,6.0,5.0,2022-01-18,738173
32.0,41.0,11.0,4.0,3.0,2022-01-19,738174
33.0,43.0,10.0,3.0,2.0,2022-01-21,738176
34.0,41.0,11.0,5.0,3.0,2022-01-24,738179
32.0,39.0,8.0,8.0,4.0,2022-01-24,738179
32.0,40.0,11.0,4.0,3.0,2022-01-25,738180
34.0,38.0,11.0,7.0,2.0,2022-01-27,738182
35.0,40.0,10.0,3.0,3.0,2022-01-27,738182
32.0,38.0,11.0,7.0,3.0,2022-01-28,738183
32.0,42.0,10.0,6.0,1.0,2022-01-30,738185
33.0,40.0,11.0,6.0,3.0,2022-01-31,738186
33.0,41.0,12.0,5.0,3.0,2022-02-05,738191
33.0,39.0,12.0,6.0,4.0,2022-02-06,738192
34.0,35.0,13.0,7.0,3.0,2022-02-07,738193
25.0,42.0,10.0,7.0,4.0,2022-02-08,738194
26.0,49.0,10.0,4.0,5.0,2022-02-11,738197
25.0,48.0,9.0,6.0,5.0,2022-02-12,738198
34.0,37.0,10.0,8.0,4.0,2022-02-14,738200
32.0,41.0,11.0,4.0,3.0,2022-02-16,738202
34.0,38.0,10.0,6.0,4.0,2022-02-18,738204
33.0,39.0,11.0,7.0,4.0,2022-02-21,738207
35.0,42.0,9.0,3.0,2.0,2022-02-23,738209
33.0,40.0,11.0,5.0,3.0,2022-02-24,738210
34.0,39.0,12.0,6.0,2.0,2022-02-24,738210
32.0,38.0,13.0,7.0,3.0,2022-02-24,738210
35.0,38.0,12.0,5.0,4.0,2022-02-28,738214
34.0,39.0,9.0,6.0,5.0,2022-02-28,738214
35.0,38.0,10.0,5.0,4.0,2022-03-01,738215
34.0,42.0,9.0,3.0,3.0,2022-03-02,738216
31.0,42.0,10.0,6.0,3.0,2022-03-08,738222
25.0,50.0,11.0,3.0,3.0,2022-03-09,738223
24.0,52.0,10.0,5.0,3.0,2022-03-10,738224
30.0,47.0,12.0,3.0,4.0,2022-03-11,738225
36.0,39.0,10.0,6.0,4.0,2022-03-14,738228
33.0,39.0,10.0,7.0,4.0,2022-03-18,738232
35.0,40.0,9.0,3.0,3.0,2022-03-18,738232
35.0,39.0,10.0,7.0,1.0,2022-03-18,738232
35.0,40.0,11.0,7.0,2.0,2022-03-21,738235
35.0,39.0,10.0,4.0,3.0,2022-03-23,738237
36.0,36.0,12.0,6.0,3.0,2022-03-24,738238
35.0,37.0,10.0,7.0,4.0,2022-03-25,738239
35.0,36.0,9.0,8.0,5.0,2022-03-25,738239
35.0,37.0,9.0,5.0,5.0,2022-03-28,738242
35.0,39.0,11.0,3.0,3.0,2022-03-29,738243
35.0,42.0,9.0,3.0,2.0,2022-03-31,738245
35.0,41.0,9.0,4.0,3.0,2022-04-04,738249
36.0,42.0,9.0,4.0,3.0,2022-04-04,738249
35.0,43.0,11.0,2.0,1.0,2022-04-06,738251
32.0,36.0,13.0,8.0,4.0,2022-04-07,738252
35.0,41.0,11.0,5.0,5.0,2022-04-07,738252
32.0,40.0,13.0,4.0,4.0,2022-04-08,738253
29.0,48.0,8.0,4.0,5.0,2022-04-10,738255
21.0,47.0,10.0,7.0,5.0,2022-04-11,738256
34.0,40.0,9.0,4.0,3.0,2022-04-13,738258
34.0,37.0,11.0,7.0,4.0,2022-04-14,738259
33.0,38.0,10.0,7.0,5.0,2022-04-16,738261
32.0,43.0,9.0,6.0,2.0,2022-04-17,738262
34.0,42.0,10.0,5.0,3.0,2022-04-18,738263
33.0,39.0,9.0,8.0,3.0,2022-04-22,738267
34.0,42.0,11.0,4.0,4.0,2022-04-25,738270
33.0,39.0,11.0,6.0,3.0,2022-04-28,738273
33.0,42.0,9.0,4.0,2.0,2022-04-29,738274
34.0,40.0,11.0,3.0,3.0,2022-04-30,738275
33.0,40.0,11.0,4.0,3.0,2022-05-04,738279
32.0,41.0,11.0,3.0,4.0,2022-05-07,738282
33.0,43.0,11.0,3.0,1.0,2022-05-08,738283
31.0,43.0,12.0,6.0,3.0,2022-05-09,738284
33.0,38.0,12.0,6.0,3.0,2022-05-13,738288
35.0,39.0,12.0,6.0,3.0,2022-05-16,738291
34.0,41.0,10.0,4.0,2.0,2022-05-19,738294
33.0,39.0,12.0,5.0,1.0,2022-05-19,738294
34.0,40.0,10.0,4.0,2.0,2022-05-20,738295
31.0,39.0,12.0,7.0,4.0,2022-05-20,738295
33.0,39.0,12.0,5.0,4.0,2022-05-23,738298
34.0,44.0,8.0,2.0,4.0,2022-05-23,738298
34.0,40.0,10.0,5.0,2.0,2022-05-25,738300
32.0,38.0,13.0,8.0,3.0,2022-05-26,738301
31.0,40.0,14.0,5.0,3.0,2022-05-26,738301
36.0,43.0,10.0,5.0,2.0,2022-05-30,738305
31.0,42.0,11.0,3.0,3.0,2022-05-31,738306
34.0,41.0,10.0,5.0,2.0,2022-06-02,738308
32.0,42.0,11.0,4.0,4.0,2022-06-06,738312
34.0,38.0,11.0,7.0,4.0,2022-06-06,738312
28.0,43.0,11.0,6.0,3.0,2022-06-08,738314
24.0,52.0,10.0,5.0,3.0,2022-06-10,738316
27.0,50.0,7.0,3.0,3.0,2022-06-11,738317
28.0,48.0,10.0,4.0,4.0,2022-06-12,738318
32.0,39.0,15.0,6.0,2.0,2022-06-13,738319
34.0,40.0,10.0,4.0,2.0,2022-06-15,738321
34.0,42.0,12.0,4.0,3.0,2022-06-16,738322
33.0,39.0,10.0,6.0,4.0,2022-06-17,738323
34.0,41.0,10.0,3.0,2.0,2022-06-17,738323
31.0,42.0,10.0,5.0,3.0,2022-06-23,738329
34.0,36.0,13.0,5.0,4.0,2022-06-23,738329
32.0,41.0,13.0,5.0,4.0,2022-06-24,738330
33.0,41.0,15.0,4.0,3.0,2022-06-27,738333
34.0,39.0,9.0,8.0,4.0,2022-06-28,738334
34.0,41.0,10.0,5.0,1.0,2022-06-29,738335
32.0,40.0,13.0,4.0,3.0,2022-06-30,738336
33.0,36.0,13.0,6.0,3.0,2022-06-30,738336
32.0,42.0,9.0,6.0,4.0,2022-07-02,738338
32.0,41.0,10.0,6.0,4.0,2022-07-02,738338
37.0,40.0,10.0,5.0,2.0,2022-07-03,738339
31.0,43.0,12.0,7.0,2.0,2022-07-07,738343
29.0,40.0,15.0,6.0,3.0,2022-07-07,738343
24.0,51.0,10.0,5.0,4.0,2022-07-10,738346
20.0,52.0,8.0,7.0,4.0,2022-07-10,738346
26.0,51.0,9.0,4.0,2.0,2022-07-10,738346
29.0,47.0,9.0,5.0,3.0,2022-07-11,738347
29.0,40.0,13.0,7.0,4.0,2022-07-15,738351
31.0,42.0,12.0,6.0,3.0,2022-07-17,738353
32.0,42.0,12.0,5.0,3.0,2022-07-18,738354
30.0,43.0,11.0,4.0,3.0,2022-07-21,738357
35.0,44.0,9.0,5.0,3.0,2022-07-21,738357
33.0,37.0,13.0,7.0,4.0,2022-07-21,738357
33.0,44.0,9.0,3.0,3.0,2022-07-22,738358
31.0,42.0,10.0,6.0,3.0,2022-07-24,738360
34.0,40.0,12.0,5.0,3.0,2022-07-25,738361
32.0,39.0,12.0,8.0,4.0,2022-07-27,738363
33.0,41.0,11.0,5.0,4.0,2022-07-28,738364
29.0,42.0,12.0,4.0,4.0,2022-07-29,738365
31.0,45.0,11.0,3.0,2.0,2022-08-07,738374
35.0,40.0,12.0,5.0,3.0,2022-08-08,738375
33.0,37.0,11.0,8.0,3.0,2022-08-08,738375
29.0,44.0,10.0,7.0,3.0,2022-08-09,738376
