,id,Constituency,Country/Region,Con Vote,Labour Vote,Liberal Vote,SNP/ PC Vote,Other Vote,Total votes,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
57,65,BIRMINGHAM HALL GREEN,West Midlands,0.56,0.44,,,,50104.0,,,,,,,,,,,,,,,,,48316,0.7262942697372377
58,66,BIRMINGHAM HANDSWORTH,West Midlands,0.39,0.43,0.17,,,58685.0,,,,,,,,,,,,,,334.0,0.01,,32857,0.7237384083349854
59,67,BIRMINGHAM LADYWOOD,West Midlands,0.24,0.59,0.15,,,55746.0,,,,,,,,,,,,,,751.0,0.03,,25794,0.6423608516996638
60,68,BIRMINGHAM NORTHFIELD,West Midlands,0.41,0.56,,,,63971.0,,,,,,,,,,,,,,1605.0,0.03,,56484,0.7345123537061118
61,69,BIRMINGHAM PERRY BARR,West Midlands,0.39,0.44,0.15,,,38396.0,,,,,,,,,,,,,,853.0,0.02,,40794,0.7827538567810269
62,70,BIRMINGHAM SELLY OAK,West Midlands,0.43,0.36,0.21,,,42684.0,,,,,,,,,,,,,,,,,46246,0.7416328559744696
63,71,BIRMINGHAM SMALL HEATH,West Midlands,0.21,0.57,0.22,,,47793.0,,,,,,,,,,,,,,,,,33701,0.6603119244484502
64,72,BIRMINGHAM SPARKBROOK,West Midlands,0.39,0.61,,,,66916.0,,,,,,,,,,,,,,,,,32473,0.6580941958495461
65,73,BIRMINGHAM STECHFORD,West Midlands,0.3,0.53,0.16,,,71018.0,,,,,,,,,,,,,,280.0,0.01,,44677,0.7205386662365938
66,74,BIRMINGHAM YARDLEY,West Midlands,0.4,0.45,0.15,,,50322.0,,,,,,,,,,,,,,,,,46125,0.7871697726807291
67,75,BISHOP AUKLAND,North East,0.34,0.48,0.18,,,31915.0,,,,,,,,,,,,,,,,,56371,0.7840849027735277
68,76,BLABY,East Midlands,0.49,0.25,0.26,,,41387.0,,,,,,,,,,,,,,,,,55235,0.8559054142002666
