,id,Constituency,1964 Vote Share,1966 Vote Share,1970 Vote Share,1974 (F) Vote Share,1974 (O) Vote Share,1979 Vote Share,1983 Vote Share,1987 Vote Share,1992 Vote Share,1997 Vote Share,2001 Vote Share,2005 Vote Share,2010 Vote Share,2015 Vote Share,2017 Vote Share,2019 Vote Share,Con Vote
206,S14000024,EDINBURGH SOUTH,,,,,,,,,,,,,,,,,na
207,S14000025,EDINBURGH SOUTH WEST,,,,,,,,,,,,,,,,,na
208,S14000026,EDINBURGH WEST,,,,,,,,,,,,,,,,,na
209,E14000687,EDMONTON,,,,,,,,,,,,,,,,,na
210,E14000688,ELLESMERE PORT AND NESTON,,,,,,,,,,,,,,,,,na
211,E14000689,ELMET AND ROTHWELL,,,,,,,,,,,,,,,,,na
212,E14000690,ELTHAM,,,,,,,,,,,,,,,,,na
213,E14000691,ENFIELD NORTH,,,,,,,,,,,,,,,,,na
214,E14000692,"ENFIELD, SOUTHGATE",,,,,,,,,,,,,,,,,na
215,E14000693,EPPING FOREST,,,,,,,,,,,,,,,,,na
216,E14000694,EPSOM AND EWELL,,,,,,,,,,,,,,,,,na
217,E14000695,EREWASH,,,,,,,,,,,,,,,,,na
218,E14000696,ERITH AND THAMESMEAD,,,,,,,,,,,,,,,,,na
219,E14000697,ESHER AND WALTON,,,,,,,,,,,,,,,,,na
220,E14000698,EXETER,,,,,,,,,,,,,,,,,na
221,S14000028,FALKIRK,,,,,,,,,,,,,,,,,na
222,E14000699,FAREHAM,,,,,,,,,,,,,,,,,na
223,E14000700,FAVERSHAM AND MID KENT,,,,,,,,,,,,,,,,,na
224,E14000701,FELTHAM AND HESTON,,,,,,,,,,,,,,,,,na
225,N06000007,FERMANAGH AND SOUTH TYRONE,,,,,,,,,,,,,,,,,na
226,E14000702,FILTON AND BRADLEY STOKE,,,,,,,,,,,,,,,,,na
227,E14000703,FINCHLEY AND GOLDERS GREEN,,,,,,,,,,,,,,,,,na
228,E14000704,FOLKESTONE AND HYTHE,,,,,,,,,,,,,,,,,na
229,E14000705,FOREST OF DEAN,,,,,,,,,,,,,,,,,na
230,N06000008,FOYLE,,,,,,,,,,,,,,,,,na
231,E14000706,FYLDE,,,,,,,,,,,,,,,,,na
232,E14000707,GAINSBOROUGH,,,,,,,,,,,,,,,,,na
233,E14000708,GARSTON AND HALEWOOD,,,,,,,,,,,,,,,,,na
234,E14000709,GATESHEAD,,,,,,,,,,,,,,,,,na
235,E14000710,GEDLING,,,,,,,,,,,,,,,,,na
236,E14000711,GILLINGHAM AND RAINHAM,,,,,,,,,,,,,,,,,na
237,S14000029,GLASGOW CENTRAL,,,,,,,,,,,,,,,,,na
238,S14000030,GLASGOW EAST,,,,,,,,,,,,,,,,,na
239,S14000031,GLASGOW NORTH,,,,,,,,,,,,,,,,,na
240,S14000032,GLASGOW NORTH EAST,,,,,,,,,,,,,,,,,na
241,S14000033,GLASGOW NORTH WEST,,,,,,,,,,,,,,,,,na
242,S14000034,GLASGOW SOUTH,,,,,,,,,,,,,,,,,na
243,S14000035,GLASGOW SOUTH WEST,,,,,,,,,,,,,,,,,na
244,S14000036,GLENROTHES,,,,,,,,,,,,,,,,,na
245,E14000712,GLOUCESTER,,,,,,,,,,,,,,,,,na
246,S14000037,GORDON,,,,,,,,,,,,,,,,,na
247,E14000713,GOSPORT,,,,,,,,,,,,,,,,,na
248,W07000046,GOWER,,,,,,,,,,,,,,,,,na
249,E14000714,GRANTHAM AND STAMFORD,,,,,,,,,,,,,,,,,na
250,E14000715,GRAVESHAM,,,,,,,,,,,,,,,,,na
251,E14000716,GREAT GRIMSBY,,,,,,,,,,,,,,,,,na
252,E14000717,GREAT YARMOUTH,,,,,,,,,,,,,,,,,na
253,E14000718,GREENWICH AND WOOLWICH,,,,,,,,,,,,,,,,,na
254,E14000719,GUILDFORD,,,,,,,,,,,,,,,,,na
255,E14000720,HACKNEY NORTH AND STOKE NEWINGTON,,,,,,,,,,,,,,,,,na
256,E14000721,HACKNEY SOUTH AND SHOREDITCH,,,,,,,,,,,,,,,,,na
257,E14000722,HALESOWEN AND ROWLEY REGIS,,,,,,,,,,,,,,,,,na
258,E14000723,HALIFAX,,,,,,,,,,,,,,,,,na
259,E14000724,HALTEMPRICE AND HOWDEN,,,,,,,,,,,,,,,,,na
260,E14000725,HALTON,,,,,,,,,,,,,,,,,na
261,E14000726,HAMMERSMITH,,,,,,,,,,,,,,,,,na
262,E14000727,HAMPSTEAD AND KILBURN,,,,,,,,,,,,,,,,,na
263,E14000728,HARBOROUGH,,,,,,,,,,,,,,,,,na
264,E14000729,HARLOW,,,,,,,,,,,,,,,,,na
265,E14000730,HARROGATE AND KNARESBOROUGH,,,,,,,,,,,,,,,,,na
266,E14000731,HARROW EAST,,,,,,,,,,,,,,,,,na
267,E14000732,HARROW WEST,,,,,,,,,,,,,,,,,na
268,E14000733,HARTLEPOOL,,,,,,,,,,,,,,,,,na
269,E14000734,HARWICH AND NORTH ESSEX,,,,,,,,,,,,,,,,,na
270,E14000735,HASTINGS AND RYE,,,,,,,,,,,,,,,,,na
271,E14000736,HAVANT,,,,,,,,,,,,,,,,,na
272,E14000737,HAYES AND HARLINGTON,,,,,,,,,,,,,,,,,na
273,E14000738,HAZEL GROVE,,,,,,,,,,,,,,,,,na
274,E14000739,HEMEL HEMPSTEAD,,,,,,,,,,,,,,,,,na
275,E14000740,HEMSWORTH,,,,,,,,,,,,,,,,,na
276,E14000741,HENDON,,,,,,,,,,,,,,,,,na
